+----------+-------------+---------+-------------+
| Position | Token index |  Token  | Probability |
+----------+-------------+---------+-------------+
|    1     |     2266    |    red  |    0.2284   |
|    2     |     4077    |   green |    0.1835   |
|    3     |    14032    |  purple |    0.1221   |
|    4     |     7872    |  yellow |    0.0929   |
|    5     |    10912    |  orange |    0.0861   |
|    6     |     4171    |   blue  |    0.0484   |
|    7     |    11398    |   pink  |    0.0463   |
|    8     |     2042    |   black |    0.0366   |
|    9     |     2330    |   white |    0.0330   |
|    10    |     7586    |   brown |    0.0175   |
|    11    |    12768    |   gray  |    0.0163   |
|    12    |    45725    |  violet |    0.0154   |
|    13    |     257     |     a   |    0.0100   |
|    14    |     2153    |    mag  |    0.0095   |
|    15    |    13791    |   grey  |    0.0069   |
|    16    |     3223    |   dark  |    0.0056   |
|    17    |     3869    |   gold  |    0.0049   |
|    18    |     6016    |  bright |    0.0038   |
|    19    |     1657    |   light |    0.0037   |
|    20    |     8465    |  silver |    0.0032   |
+----------+-------------+---------+-------------+
