+----------+-------------+----------+-------------+
| Position | Token index |  Token   | Probability |
+----------+-------------+----------+-------------+
|    1     |     8078    |  Jordan  |    0.9267   |
|    2     |     318     |    is    |    0.0237   |
|    3     |     6612    |  Jackson |    0.0104   |
|    4     |     468     |    has   |    0.0082   |
|    5     |     373     |    was   |    0.0054   |
|    6     |     338     |    's    |    0.0042   |
|    7     |      11     |    ,     |    0.0014   |
|    8     |     460     |    can   |    0.0013   |
|    9     |     449     |     J    |    0.0012   |
|    10    |     1595    |   doesn  |    0.0012   |
|    11    |     2125    |    isn   |    0.0010   |
|    12    |    10408    |   loves  |    0.0009   |
|    13    |     550     |    had   |    0.0008   |
|    14    |    17468    |  Bennett |    0.0007   |
|    15    |     481     |   will   |    0.0007   |
|    16    |     290     |    and   |    0.0007   |
|    17    |     561     |   would  |    0.0007   |
|    18    |     3899    |  Michael |    0.0006   |
|    19    |     857     |   does   |    0.0006   |
|    20    |    16182    |  Bradley |    0.0006   |
+----------+-------------+----------+-------------+
