+----------+-------------+------------+-------------+
| Position | Token index |   Token    | Probability |
+----------+-------------+------------+-------------+
|    1     |     1971    |    York    |    0.9382   |
|    2     |     8221    |   Jersey   |    0.0304   |
|    3     |    12255    |   Orleans  |    0.0131   |
|    4     |     4492    |   England  |    0.0046   |
|    5     |    13910    |  Hampshire |    0.0034   |
|    6     |     5828    |   Mexico   |    0.0015   |
|    7     |    21425    |    Haven   |    0.0012   |
|    8     |     8936    |   Zealand  |    0.0012   |
|    9     |    27980    |   Yorker   |    0.0011   |
|    10    |    38244    |   Yorkers  |    0.0010   |
|    11    |     6280    |    Year    |    0.0009   |
|    12    |    12517    |    Delhi   |    0.0004   |
|    13    |    13545    |     Roc    |    0.0003   |
|    14    |    32211    |  Brunswick |    0.0003   |
|    15    |    13212    |    Years   |    0.0003   |
|    16    |    24377    |  Amsterdam |    0.0003   |
|    17    |     9228    |   burgh    |    0.0003   |
|    18    |     3576    |   London   |    0.0001   |
|    19    |    41540    |   Bedford  |    0.0001   |
|    20    |     2253    |   America  |    0.0001   |
+----------+-------------+------------+-------------+
