+----------+-------------+---------+-------------+
| Position | Token index |  Token  | Probability |
+----------+-------------+---------+-------------+
|    1     |     307     |    be   |    0.2651   |
|    2     |     407     |    not  |    0.0764   |
|    3     |     2652    |   stay  |    0.0476   |
|    4     |    12178    |   float |    0.0474   |
|    5     |     423     |   have  |    0.0456   |
|    6     |     1282    |   come  |    0.0442   |
|    7     |     467     |    go   |    0.0438   |
|    8     |    14936    |   sail  |    0.0416   |
|    9     |     1011    |   take  |    0.0324   |
|    10    |    14595    |   sink  |    0.0299   |
|    11    |     1057    |    run  |    0.0279   |
|    12    |     1239    |   never |    0.0250   |
|    13    |     1210    |   turn  |    0.0175   |
|    14    |     1445    |   move  |    0.0175   |
|    15    |     651     |    get  |    0.0145   |
|    16    |     1650    |    sit  |    0.0141   |
|    17    |     1464    |  always |    0.0140   |
|    18    |     3283    |   carry |    0.0133   |
|    19    |     4485    |   rise  |    0.0117   |
|    20    |     1302    |   stand |    0.0114   |
+----------+-------------+---------+-------------+
