+----------+-------------+----------+-------------+
| Position | Token index |  Token   | Probability |
+----------+-------------+----------+-------------+
|    1     |     393     |    or    |    0.1179   |
|    2     |    32956    |  abdomen |    0.0682   |
|    3     |    11384    |  stomach |    0.0632   |
|    4     |     5422    |   mouth  |    0.0611   |
|    5     |     7393    |   neck   |    0.0520   |
|    6     |     1986    |   face   |    0.0508   |
|    7     |     826     |   right  |    0.0458   |
|    8     |     736     |   back   |    0.0441   |
|    9     |     7405    |   legs   |    0.0389   |
|    10    |     1364    |   left   |    0.0371   |
|    11    |     2793    |   lower  |    0.0370   |
|    12    |    13589    |  throat  |    0.0335   |
|    13    |     6727    |   upper  |    0.0311   |
|    14    |     2951    |   eyes   |    0.0284   |
|    15    |     5101    |   arms   |    0.0260   |
|    16    |     9686    |   nose   |    0.0239   |
|    17    |     1182    |   head   |    0.0224   |
|    18    |     3211    |    arm   |    0.0223   |
|    19    |     1767    |   body   |    0.0220   |
|    20    |    21726    |   lungs  |    0.0193   |
+----------+-------------+----------+-------------+
