+----------+-------------+-----------+-------------+
| Position | Token index |   Token   | Probability |
+----------+-------------+-----------+-------------+
|    1     |     5814    |    warm   |    0.3572   |
|    2     |     3024    |     hot   |    0.1784   |
|    3     |     4692    |    cold   |    0.1303   |
|    4     |    23254    |   warmer  |    0.0904   |
|    5     |     3608    |    cool   |    0.0312   |
|    6     |    38427    |   colder  |    0.0215   |
|    7     |     9583    |     wet   |    0.0200   |
|    8     |     1029    |    high   |    0.0167   |
|    9     |    19346    |   cooler  |    0.0128   |
|    10    |    20884    |  freezing |    0.0120   |
|    11    |     845     |    very   |    0.0119   |
|    12    |     5894    |     dry   |    0.0113   |
|    13    |    37546    |   hotter  |    0.0109   |
|    14    |     407     |     not   |    0.0083   |
|    15    |    36780    |    frig   |    0.0082   |
|    16    |     6729    |    snow   |    0.0074   |
|    17    |    11607    |    mild   |    0.0053   |
|    18    |    27737    |    sunny  |    0.0047   |
|    19    |     517     |    more   |    0.0040   |
|    20    |    23125    |   warmth  |    0.0040   |
+----------+-------------+-----------+-------------+
